,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,target
0,30,4,0,3,0,0,1,1,6,4,149,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
1,29,1,1,2,0,1,1,0,6,2,11,5,999,0,1,-1.8,92.89299999999999,-46.2,1.266,5099.1,0
2,31,1,0,2,0,1,1,1,4,4,121,2,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
3,41,1,1,0,0,0,0,1,4,2,163,1,999,0,1,1.4,94.465,-41.8,4.8660000000000005,5228.1,0
4,35,1,1,0,0,0,0,1,6,1,131,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
5,38,1,1,0,0,0,0,1,6,4,548,2,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
6,48,7,1,3,0,0,0,0,1,2,163,1,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
7,36,0,1,3,0,1,0,1,3,1,194,2,999,0,1,1.4,93.91799999999999,-42.7,4.96,5228.1,0
8,43,0,1,3,0,1,0,0,6,3,152,3,999,1,0,-1.8,92.89299999999999,-46.2,1.291,5099.1,0
9,52,4,1,5,0,1,0,0,7,1,68,1,999,0,1,-0.1,93.2,-42.0,4.191,5195.8,0
10,51,1,1,2,0,1,0,0,6,0,31,1,999,1,0,-1.8,92.89299999999999,-46.2,1.25,5099.1,0
11,30,7,1,3,0,0,0,0,7,3,200,1,999,1,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
12,37,1,2,4,0,0,0,0,6,4,84,2,999,2,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0
13,45,0,1,1,0,1,0,1,6,4,200,4,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
14,26,0,2,3,0,1,1,0,3,4,668,1,999,0,1,1.4,93.91799999999999,-42.7,4.962,5228.1,0
15,41,6,2,5,0,1,1,1,6,4,23,17,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
16,29,0,2,2,0,0,0,0,6,2,460,2,999,0,1,-1.8,92.89299999999999,-46.2,1.266,5099.1,1
17,45,0,1,5,0,1,1,0,0,2,317,5,999,0,1,-1.8,93.075,-47.1,1.435,5099.1,0
18,54,9,2,5,0,0,0,1,4,2,594,3,999,0,1,1.4,94.465,-41.8,4.8660000000000005,5228.1,0
19,54,9,1,4,0,1,0,0,1,4,14,10,999,0,1,1.4,93.444,-36.1,4.9639999999999995,5228.1,0
20,29,7,1,3,0,1,1,1,6,2,286,2,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
21,41,1,1,2,0,1,1,0,6,1,105,1,999,1,0,-1.8,92.89299999999999,-46.2,1.244,5099.1,0
22,24,0,2,3,0,0,0,1,3,4,41,6,999,0,1,1.4,93.91799999999999,-42.7,4.957,5228.1,0
23,52,4,0,5,0,1,0,0,7,1,534,1,999,0,1,-0.1,93.2,-42.0,4.191,5195.8,0
24,48,0,2,5,0,0,0,0,3,3,196,4,999,0,1,1.4,93.91799999999999,-42.7,4.961,5228.1,0
25,31,9,1,4,0,0,0,1,6,3,159,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
26,31,2,2,3,0,0,0,0,7,2,290,1,999,0,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
27,34,9,1,4,0,1,0,0,7,0,251,2,999,0,1,-0.1,93.2,-42.0,4.021,5195.8,0
28,33,1,1,0,0,0,0,0,6,3,150,4,999,0,1,-1.8,92.89299999999999,-46.2,1.291,5099.1,0
29,41,1,1,1,0,0,0,0,6,3,399,4,999,0,1,-1.8,92.89299999999999,-46.2,1.291,5099.1,0
30,40,1,1,3,0,0,0,0,3,3,405,2,999,0,1,1.4,93.91799999999999,-42.7,4.961,5228.1,0
31,40,7,1,0,0,1,0,0,3,4,205,1,999,0,1,1.4,93.91799999999999,-42.7,4.963,5228.1,0
32,33,0,1,5,0,1,0,0,6,1,86,3,999,0,1,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0
33,42,9,1,4,0,0,0,0,7,0,21,6,999,0,1,-0.1,93.2,-42.0,4.021,5195.8,0
34,49,1,1,1,0,1,0,1,6,2,374,5,999,0,1,1.1,93.994,-36.4,4.86,5191.0,1
36,31,1,1,0,0,1,0,0,0,2,39,1,999,1,0,-1.8,93.075,-47.1,1.41,5099.1,0
37,45,0,1,5,0,0,0,1,6,2,319,1,999,0,1,1.1,93.994,-36.4,4.855,5191.0,0
38,38,9,1,4,0,0,0,0,5,2,119,1,999,0,1,-1.8,92.84299999999999,-50.0,1.757,5099.1,0
39,36,0,0,5,0,1,0,0,1,1,280,1,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
40,27,7,2,3,0,1,0,1,6,0,274,2,999,0,1,1.1,93.994,-36.4,4.864,5191.0,0
41,57,5,1,5,0,1,1,1,0,2,41,1,999,0,1,-1.8,93.075,-47.1,1.365,5099.1,0
42,32,8,1,5,0,0,0,0,7,4,154,3,999,1,0,-0.1,93.2,-42.0,4.12,5195.8,0
43,31,9,1,5,0,1,0,0,1,2,168,4,999,0,1,1.4,93.444,-36.1,4.9639999999999995,5228.1,0
44,47,4,1,3,0,0,0,0,1,2,276,1,999,0,1,1.4,93.444,-36.1,4.968,5228.1,0
45,33,1,2,4,0,0,1,1,3,0,15,1,999,0,1,-1.7,94.215,-40.3,0.8220000000000001,4991.6,1
46,54,9,1,2,0,0,0,0,7,3,284,2,999,1,0,-3.4,92.649,-30.1,0.72,5017.5,1
47,29,0,2,5,0,0,0,0,1,0,289,2,999,0,1,-2.9,92.20100000000001,-31.4,0.8809999999999999,5076.2,0
48,41,10,1,4,0,1,0,0,6,1,34,7,999,0,1,-1.8,92.89299999999999,-46.2,1.244,5099.1,1
49,33,0,2,5,0,1,0,0,0,2,280,1,7,2,2,-1.8,93.749,-34.6,0.635,5008.7,0
50,45,10,0,0,0,1,0,0,1,4,156,1,999,0,1,-2.9,92.20100000000001,-31.4,0.884,5076.2,0
51,31,7,2,5,0,1,0,0,1,4,55,3,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
52,50,0,0,2,0,1,1,0,0,1,137,2,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,0
53,55,0,1,3,0,0,0,0,7,1,73,1,999,1,0,-0.1,93.2,-42.0,4.191,5195.8,0
54,39,9,1,4,0,1,0,0,3,2,23,5,999,0,1,1.4,93.91799999999999,-42.7,4.968,5228.1,0
55,36,9,1,2,0,1,1,1,4,4,702,2,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
56,33,0,2,5,0,1,0,0,3,3,156,4,999,0,1,1.4,93.91799999999999,-42.7,4.961,5228.1,0
57,39,9,1,4,0,0,1,1,6,0,110,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
58,27,9,2,5,0,1,0,0,6,2,43,8,999,0,1,-1.8,92.89299999999999,-46.2,1.266,5099.1,0
